,Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr
0,2020-05-29,225.199997,227.490005,222.880005,225.089996,225.089996,23241500,2418527.888740005,183107800,0.02530890449200313,23164678.164516307,-52.16654895338068,3.070825763792701,-509940.80597837974,223.4076158066678,63.29978060601053,1021.4711769825113,216.54900130000001,237.27483985100866,195.82316274899136,19.141938708177868,0.7060470238388579,0.0,0.0,224.71300086666665,231.8009997666667,217.6250019666667,6.308490272181149,0.5265939046162458,0.0,0.0,198.759995,240.899994,219.8299945,19.459798358349662,0.6248220603897028,7.222310990975556,2.1968823887520363,6.109946705756698,4.998934998782272,1.111011706974426,221.75166825,215.98523966666667,223.09932780939752,216.98938110364082,1.0477416750953745,0.8273299217892869,0.22041175330608764,0.3391227681042202,20.29550404588638,-11.448995300000007,-144.29727348253815,-208.27127111811333,63.97399763557519,225.919998,219.8299945,222.87499624999998,219.8299945,100.0,0.0,31.724343399059606,20.885622385500948,61.892820553290996,285.612312000495,285.8491481811881,68.0,8.0,60.0,217.4245160157808,214.69639912,0.0,0.0,63.151995044115054,0.4536355849158548,0.524917215187866,0.6629185228984595,-0.09693962771864104,53.87573373442641,60.68141968294851,64.3455288426817,-39.318580317051484,13.652810642857133,7.134692799580408,2.815781433487936,2.3278050341735557,0.4879763993143804,-4.595175049217194,-7.6697279167961785,3.0745528675789844,223.86766326497298,-0.16411380666726538,-0.16424862089436942,9.955541157301617
1,2020-06-01,224.589996,232.440002,223.5,231.910004,231.910004,18223800,18481572.76756663,201331600,0.07153370816916714,37610647.25392819,136.62282185928245,11.151959408334173,514020.90869603545,224.02453525225377,63.89360460864148,1052.4207603606644,218.0310013,238.69955750631678,197.36244509368325,18.959282013182925,0.8357516258382441,0.0,0.0,226.7633345333333,234.02333353333333,219.50333553333334,6.403150681251605,0.8544538688412117,0.0,0.0,198.759995,240.899994,219.8299945,19.32752624569082,0.7866637348520106,7.394080091878,2.223238256875713,6.3602040248085245,5.271188803987522,1.0890152208210022,223.98583475,216.7090925909091,224.45481645410558,218.09461242929706,1.0559269362898123,0.8052173617112642,0.25070957457854803,0.36009081140650084,21.354057912474012,-11.221003300000007,-122.56605068533291,-193.15885215335774,70.59280146802483,226.864998,219.8299945,223.34749625,219.8299945,100.0,0.0,33.88013688937963,18.981389467001758,80.1142633711245,285.612312000495,285.8491481811881,68.0,8.0,60.0,219.7720638142027,214.69639912,0.0,0.0,69.63718912747973,0.627434507742397,0.5173271888317477,0.5629414519933834,3.102715355069469,53.300292434604295,77.64239793929826,66.64181131893785,-22.357602060701744,12.222727586363618,13.071670997415758,2.916259119821406,2.445495851303126,0.4707632685182799,-7.529147500373422,-7.641611833511627,0.11246433313820514,225.00393931929224,3.029902759427827,2.9849078160110842,13.287087132970488
2,2020-06-02,230.940002,233.0,226.559998,232.720001,232.720001,20919000,37581536.35080773,222250600,0.07800745465053974,34658315.823795624,55.72154854436653,15.247480645739417,625227.6549862948,224.8249191504427,68.03663469256719,1052.4207603606644,219.4040016,240.144838574743,198.66316462525697,18.90652570007002,0.8210092103856623,0.0,0.0,228.5470010666667,236.08100056666666,221.01300156666667,6.592954153708051,0.776944532139492,0.0,0.0,200.690002,240.899994,220.794998,18.326918245232225,0.7965681515181601,7.2986722826902,2.2035810790739294,6.548408761674693,5.526632795524956,1.021775966149737,226.14500166666664,217.40521904347824,225.7263833073201,219.1779745456454,1.0864053211281075,0.8047278175627819,0.2816775035653256,0.37934867298702296,22.379292394532385,-8.523996599999975,-101.67448760360303,-176.36735485937822,74.6928672557752,231.0149995,219.8299945,225.422497,219.8299945,100.0,0.0,32.21649724464839,17.727516296281422,80.28088509301158,285.612312000495,285.8491481811881,68.0,8.0,60.0,221.88485683278245,214.69639912,0.0,0.0,70.30563500750823,0.6445372205545282,0.5752024377375933,0.5391489472524024,5.859798879413134,60.25046172636535,79.656815151816,72.66021092468759,-20.343184848183995,10.33987056086957,12.528409288993847,2.9877129648859584,2.5539392740196925,0.43377369086626594,-9.142922044331712,-7.941873875675645,-1.201048168656067,226.03048010728332,0.3492721254060305,0.3486635868767074,13.682767350010394
3,2020-06-03,232.110001,232.649994,228.529999,230.160004,230.160004,15380300,34371137.48005658,206870300,0.10256568245805592,24082339.011953373,21.6977929560052,35.34481149532205,-96124.15223478177,226.02841843454266,68.58211794194564,1040.8437838322868,220.55850145,240.99287620836884,200.12412669163115,18.52966412451008,0.7349350705254077,0.0,0.0,229.91833389999996,237.09833259999996,222.7383352,6.2456947892836014,0.5168293971975237,0.0,0.0,200.690002,240.899994,220.794998,18.23098712389261,0.7329024586724612,6.98780525442118,2.0301954467229963,6.417020589570683,5.704710354334102,0.7123102352365809,227.75166825,217.93666841666666,226.40847879850162,219.99145820893094,1.182479057509454,0.7566317088246272,0.42584734868482677,0.3934056440146568,23.32884930282791,-7.368499450000002,-82.36315406918843,-158.4795271306677,76.11637306147927,231.0149995,219.8299945,225.422497,219.8299945,100.0,0.0,30.791326433959128,16.943298863218452,70.3050020424949,285.612312000495,285.8491481811881,68.0,8.0,60.0,223.5,214.69639912,0.0,0.0,65.40475227512027,0.44158678416875663,0.5711861708218939,0.554571932463745,7.038709807712232,57.60711660529493,73.29024586724611,76.86315298612014,-26.709754132753886,10.721750174999983,9.1426396732113,2.9169407947995376,2.6265395781756617,0.29040121662387586,-12.066488160852325,-8.766796732710983,-3.299691428141342,226.34216367067015,-1.1000330822446225,-1.1061281861448613,12.4322193003491
4,2020-06-04,229.559998,231.630005,224.610001,226.289993,226.289993,17041500,25486209.376027,189828800,0.0973437031364351,11220463.087888664,-101.74787577369308,34.91372870259817,-455731.6246375493,227.01437597530074,68.307989506225,1040.8437838322868,221.44950104999998,241.24171621324726,201.6572858867527,17.875149927548033,0.6222827235373956,0.0,0.0,229.85266723333334,236.91966693333333,222.78566753333334,6.149156139942445,0.24793587204104967,0.0,0.0,200.690002,240.899994,220.794998,18.15763495033623,0.6366574507152356,6.991025128979063,2.1084907279240115,5.932233872514047,5.750215057970092,0.1820188145439552,228.84333416666666,218.27080139999998,226.39025021411678,220.45801634160273,1.1577172232462443,0.7318900082717656,0.4258272149744786,0.3989684209310368,24.29858405433078,-4.5694960499999695,-67.19114236428834,-140.68156475039436,73.49042238610602,231.0149995,219.8299945,225.422497,219.8299945,51.449521010510466,0.0,28.515314292455646,19.81846776763329,45.05375849531671,285.612312000495,285.8491481811881,68.0,8.0,60.0,223.5,240.899994,0.0,1.0,58.73873835444187,0.0,0.3620413349077616,0.5028099811557496,6.469564973301243,58.79077151222022,60.27732083407621,71.07479395104612,-39.7226791659238,10.35980017999998,6.144749227029895,2.690867844570446,2.6394052314546186,0.05146261311582734,-13.917512214585582,-9.796939829085904,-4.120572385499678,226.3411205089951,-1.6814437490190404,-1.6957405022615113,10.541734777039991
5,2020-06-05,226.710007,231.350006,225.309998,230.770004,230.770004,16750400,39019638.305525064,206579200,0.10193653548481901,20337822.111675974,7.5723304517622125,25.02496290693412,45075.3881771898,228.00527359172233,68.2341570267187,1061.4500490012915,222.42500149999995,242.03455337902227,202.81544962097763,17.632506909545707,0.712779020945585,0.0,0.0,229.44066773333333,236.51166823333332,222.36966723333336,6.163685426698836,0.593999163673278,0.0,0.0,200.690002,240.899994,220.794998,18.078000102879628,0.7480728173236146,6.895923416081156,2.1411315905498323,5.842191209606256,5.7686102882973245,0.07358092130893112,230.00083408333333,218.75153996153844,227.06405848886806,221.2218672792618,1.133611368028588,0.7733344723459906,0.36027689568259735,0.4019433403233389,24.259488139173197,7.544999500000046,-57.74965315304152,-123.76877798619186,66.01912483315034,231.0149995,219.8299945,225.422497,219.8299945,50.825726775543686,0.0,26.68747306689301,18.548097325924758,51.80984359749766,285.612312000495,285.8491481811881,64.0,4.0,60.0,223.5,240.57419414,0.0,0.0,63.39035573268532,0.1827038527792618,0.20809687898267282,0.3804414615707761,7.522925272042384,59.35103936142742,66.18827535067436,66.5852806839989,-33.81172464932565,10.590307223076934,6.404462688941743,2.6408741963249516,2.639699024428685,0.0011751718962664803,-15.456466069933764,-10.928845077255477,-4.527620992678287,226.36685451395644,1.97976540659488,1.9604229249871707,12.730201802005702
6,2020-06-08,229.029999,231.550003,227.410004,231.399994,231.399994,15466500,53365309.9195761,222045700,0.1235436729505014,18824381.857865103,30.782692011757472,20.587697506058202,373841.35797696427,228.87291658724556,67.97242698461221,1064.3477519296596,223.3775009,242.78663523613344,203.96836656386657,17.377877591013405,0.7066679781041224,0.0,0.0,229.13133396666666,235.89133436666665,222.3713335666667,5.900546453400744,0.6678002883944596,0.0,0.0,200.690002,240.899994,220.794998,18.000914075048637,0.763740316088598,6.620330974473042,2.178053472953731,5.755322898671608,5.765952810372181,-0.01062991170057348,230.12000016666664,219.77807792307692,227.73112549058067,221.97580259190906,1.0891323104522708,0.803984430176565,0.2851478802757058,0.4027975960500402,24.167685246746657,8.012498099999988,-50.30194711441553,-107.76675887840312,57.46481176398759,227.0650025,219.8299945,223.4474985,219.8299945,63.06431279320531,0.0,25.700027606235707,17.710125623512138,54.58270790651362,205.63000449999998,205.63000449999998,60.0,32.0,28.0,223.5,240.2549102772,0.0,0.0,64.00488741262349,0.2068411143916977,0.12984832239031982,0.2333288454269181,8.558026717127037,66.27023493892018,66.15602882964838,64.20720833813299,-33.843971170351615,10.48074067037038,0.621817190843077,2.5927703972547267,2.6303132989938933,-0.037542901739166634,-17.072738953581375,-12.157623852520658,-4.915115101060717,226.46190493092038,0.272994751952238,0.27262279806858913,13.037949336790366
7,2020-06-09,231.520004,239.770004,230.410004,238.669998,238.669998,27462900,74373219.58252478,249508600,0.1559526637344192,44657383.42839866,191.20196585211346,27.595381093182247,905037.7636844637,230.41113114176355,67.82297226367817,1064.3477519296596,224.65200115000002,244.55655721552588,204.74744508447415,17.7203461029805,0.8521303565840073,0.0,0.0,229.26733453333333,236.04033533333336,222.49433373333332,5.908387092113455,1.194128329843592,1.0,0.0,200.690002,240.899994,220.794998,17.89879092737385,0.9445412473596115,6.894297877025738,2.178053472953731,6.2016192943931685,5.853086107176379,0.3485331872167894,230.72666675000002,221.1780776923077,229.41402895356825,223.21240965917508,1.0980392462979065,0.7850571076588732,0.31298213863903335,0.40799090630412627,24.193212344769208,10.258002849999968,-39.566066185753655,-92.24256295236297,52.67649676660932,231.3250045,219.8299945,225.5774995,219.8299945,75.45884736960863,30.840960619365315,31.856082108704513,15.955076874982202,96.24800996733745,204.3700025,204.3700025,100.0,28.000000000000004,72.0,223.5,239.942012091656,0.0,0.0,70.21775238344543,0.4508668531112326,0.28013727342739736,0.20602749160013,11.71215742795337,70.627999689265,88.7202972141259,73.68820046481623,-11.279702785874095,10.960215103571414,3.1462029610017863,2.7783487951509835,2.6599203982253115,0.11842839692567209,-14.071145086118452,-12.540328099240217,-1.5308169868782358,226.86025917331358,3.141747704626119,3.0934047465231984,16.589316515435428
8,2020-06-10,240.960007,241.210007,235.279999,236.729996,236.729996,20720700,63785710.91646564,228787900,0.16105776195103547,32535157.304141734,90.29216826647738,21.73768267182724,694389.1713288471,231.157805728883,65.26065270919548,1055.6963219856286,225.98350065,245.37224139925604,206.59475990074395,17.159430395128755,0.7771323699919076,0.0,0.0,230.34700119999997,236.77000349999997,223.92399890000002,5.57680565975606,0.9968856075296771,0.0,0.0,200.690002,241.210007,220.95000449999998,17.93051478689889,0.8894370570783495,6.797868889323164,2.1888604946832837,6.325849994238922,5.947638884588888,0.37821110965003424,230.87833275000003,222.38846234615386,230.53956234532697,224.21371235108805,1.1147556862476826,0.8707104240013533,0.24404526224632928,0.4131733571371911,24.277343604631113,6.21649635,-28.846955591704514,-77.1729700277629,48.32601443605839,232.045006,220.95000449999998,226.49750525,219.985001,84.79373544159735,31.17187903128636,31.376490197622793,14.944622724968395,104.4513735659581,204.2249985,204.2249985,96.0,24.0,72.0,224.610001,239.942012091656,1.0,0.0,66.89939774605563,0.32053021365014484,0.32607939371769173,0.245354996511803,13.397321277856664,62.89839859069478,77.68919046920416,77.5218388376595,-22.31080953079584,11.840071013793107,0.7747613847897314,2.821348403675465,2.6922059993153424,0.1291424043601226,-13.856025931254855,-12.803467665643144,-1.0525582656117116,227.27683683202432,-0.8128386543163169,-0.8161601991514722,15.641633483994767
9,2020-06-11,229.940002,232.889999,223.550003,224.429993,224.429993,26708200,42110264.4461245,202079700,0.12982599410925894,-19042856.614249956,-350.57951707712186,-9.523845931067175,-1556128.920234515,230.51890890671498,55.066042601930754,1055.6963219856286,226.95,243.84512921856668,210.0548707814333,14.888855887699224,0.42542208563783396,0.0,0.0,230.33966729999997,236.9336687,223.7456659,5.725458821134623,0.05189012395417376,0.0,0.0,200.690002,241.210007,220.95000449999998,17.854155100242345,0.5858832199058219,7.436081300390848,2.7081024441182446,5.369895459995718,5.8320901996702545,-0.46219473967453695,230.23083241666666,223.0561541153846,229.59962859989207,224.22973313989635,0.940969281627515,0.988193803007409,-0.04722452137989397,0.4060995619894473,24.458979667732024,2.1899990000000003,-23.360278523403586,-63.73552614341462,40.37524762001103,232.3550035,220.95000449999998,226.652504,219.985001,42.396867720798674,29.296516032567393,27.246301840532904,24.692572785520596,4.650837852818147,204.57,204.57,92.0,20.0,72.0,224.610001,241.210007,0.0,1.0,50.5789120131158,0.0,0.2571323555871258,0.287783007577405,9.962447883419902,50.249793486337175,16.434201550378273,60.947896411236115,-83.56579844962172,11.586501650000002,-3.3462549958603143,2.3948186463948797,2.63272852873125,-0.23790988233637034,-11.49207609416985,-12.541189351348486,1.049113257178636,227.2587873996372,-5.195794030258849,-5.3356410941869825,9.633132394939548
