,date,ticker,data.open,data.high,data.low,data.close,data.volume,data.is_extended_hours
0,2022-04-29T16:00:00.000Z,AAPL,157.67,157.67,157.67,157.67,10,False
1,2022-04-29T15:00:00.000Z,AAPL,159.77,159.77,157.3,157.86,780191,False
2,2022-04-29T14:00:00.000Z,AAPL,160.06,160.38,159.3,159.77,356797,False
3,2022-04-29T13:00:00.000Z,AAPL,160.06,160.72,159.61,160.01,176256,False
4,2022-04-29T12:00:00.000Z,AAPL,161.53,161.64,159.82,160.09,197345,False
5,2022-04-29T11:00:00.000Z,AAPL,162.28,162.56,161.16,161.58,227076,False
6,2022-04-29T10:00:00.000Z,AAPL,165.98,166.12,161.74,162.36,722665,False
7,2022-04-29T09:00:00.000Z,AAPL,161.87,165.99,160.8,165.97,849321,False
8,2022-04-28T15:00:00.000Z,AAPL,163.33,164.51,162.56,163.65,560558,False
9,2022-04-28T14:00:00.000Z,AAPL,163.65,163.9,162.89,163.39,262758,False
10,2022-04-28T13:00:00.000Z,AAPL,162.82,163.99,162.51,163.63,255047,False
11,2022-04-28T12:00:00.000Z,AAPL,160.5,163.26,160.49,162.77,266235,False
12,2022-04-28T11:00:00.000Z,AAPL,160.77,162.51,160.08,160.51,402977,False
13,2022-04-28T10:00:00.000Z,AAPL,159.7,161.32,158.94,160.7,413557,False
14,2022-04-28T09:00:00.000Z,AAPL,159.22,161.03,159.22,159.63,301315,False
15,2022-04-27T16:00:00.000Z,AAPL,156.53,156.53,156.53,156.53,41,False
16,2022-04-27T15:00:00.000Z,AAPL,156.67,157.37,156.18,156.55,546029,False
17,2022-04-27T14:00:00.000Z,AAPL,158.89,159.0,156.51,156.74,239775,False
18,2022-04-27T13:00:00.000Z,AAPL,159.06,159.09,158.0,158.95,129927,False
19,2022-04-27T12:00:00.000Z,AAPL,157.62,159.78,157.09,159.01,157835,False
20,2022-04-27T11:00:00.000Z,AAPL,157.35,158.65,157.35,157.62,204362,False
21,2022-04-27T10:00:00.000Z,AAPL,158.17,158.36,155.4,157.35,224922,False
22,2022-04-27T09:00:00.000Z,AAPL,155.78,158.91,155.56,158.12,200865,False
23,2022-04-26T16:00:00.000Z,AAPL,156.77,156.78,156.77,156.77,300,False
24,2022-04-26T15:00:00.000Z,AAPL,158.9,159.13,156.79,156.84,562093,False
25,2022-04-26T14:00:00.000Z,AAPL,158.41,158.99,158.18,158.93,170229,False
26,2022-04-26T13:00:00.000Z,AAPL,159.56,159.58,158.35,158.42,158592,False
27,2022-04-26T12:00:00.000Z,AAPL,158.21,159.9,158.18,159.62,150036,False
28,2022-04-26T11:00:00.000Z,AAPL,158.7,159.39,158.07,158.21,195896,False
29,2022-04-26T10:00:00.000Z,AAPL,160.64,160.79,158.73,158.74,346116,False
30,2022-04-26T09:00:00.000Z,AAPL,162.29,162.29,160.17,160.64,214407,False
31,2022-04-25T16:00:00.000Z,AAPL,162.88,162.88,162.88,162.88,400,False
32,2022-04-25T15:00:00.000Z,AAPL,161.46,163.15,160.46,162.96,340884,False
33,2022-04-25T14:00:00.000Z,AAPL,159.94,161.94,159.42,161.42,162285,False
34,2022-04-25T13:00:00.000Z,AAPL,159.8,160.63,159.28,159.82,143082,False
35,2022-04-25T12:00:00.000Z,AAPL,158.9,160.53,158.63,159.68,160530,False
36,2022-04-25T11:00:00.000Z,AAPL,159.76,160.57,158.46,158.92,190786,False
37,2022-04-25T10:00:00.000Z,AAPL,159.36,161.77,159.04,159.78,435243,False
38,2022-04-25T09:00:00.000Z,AAPL,161.17,161.22,159.1,159.37,891974,False
39,2022-04-22T16:00:00.000Z,AAPL,161.82,161.82,161.82,161.82,118,False
40,2022-04-22T15:00:00.000Z,AAPL,162.96,164.11,161.51,161.79,622166,False
41,2022-04-22T14:00:00.000Z,AAPL,163.7,164.25,162.57,162.96,191551,False
42,2022-04-22T13:00:00.000Z,AAPL,164.73,164.73,163.74,163.75,197872,False
