,date,ticker,data.open,data.high,data.low,data.close,data.volume,data.is_extended_hours
0,2022-04-29T16:00:00.000Z,FB,200.5,200.5,200.5,200.5,10,False
1,2022-04-29T15:00:00.000Z,FB,203.8,204.39,199.92,200.48,327735,False
2,2022-04-29T14:00:00.000Z,FB,205.92,206.13,202.44,203.75,98212,False
3,2022-04-29T13:00:00.000Z,FB,205.52,209.32,205.52,205.88,120987,False
4,2022-04-29T12:00:00.000Z,FB,206.07,206.16,204.42,205.52,57005,False
5,2022-04-29T11:00:00.000Z,FB,207.58,208.12,205.77,206.1,97592,False
6,2022-04-29T10:00:00.000Z,FB,211.56,211.57,205.59,207.53,284503,False
7,2022-04-29T09:00:00.000Z,FB,204.35,212.44,203.75,211.46,332877,False
8,2022-04-28T15:00:00.000Z,FB,206.51,207.46,205.19,205.73,404260,False
9,2022-04-28T14:00:00.000Z,FB,206.73,208.48,205.35,206.57,301782,False
10,2022-04-28T13:00:00.000Z,FB,204.6,208.0,204.6,206.72,256186,False
11,2022-04-28T12:00:00.000Z,FB,199.92,205.92,199.31,204.76,281132,False
12,2022-04-28T11:00:00.000Z,FB,195.35,202.0,194.57,200.14,339231,False
13,2022-04-28T10:00:00.000Z,FB,196.62,199.31,192.92,195.23,522373,False
14,2022-04-28T09:00:00.000Z,FB,202.94,208.01,196.04,196.64,933448,False
15,2022-04-27T15:00:00.000Z,FB,172.36,176.01,171.73,174.87,619126,False
16,2022-04-27T14:00:00.000Z,FB,172.62,173.71,171.4,172.41,384300,False
17,2022-04-27T13:00:00.000Z,FB,178.42,178.99,169.07,172.67,698507,False
18,2022-04-27T12:00:00.000Z,FB,176.62,179.74,175.74,178.34,194431,False
19,2022-04-27T11:00:00.000Z,FB,177.22,178.27,175.99,176.57,332818,False
20,2022-04-27T10:00:00.000Z,FB,178.03,178.86,174.77,177.2,302057,False
21,2022-04-27T09:00:00.000Z,FB,174.42,181.1,174.13,178.01,202630,False
22,2022-04-26T15:00:00.000Z,FB,184.44,184.72,180.89,181.02,238605,False
23,2022-04-26T14:00:00.000Z,FB,181.43,184.53,181.37,184.51,81613,False
24,2022-04-26T13:00:00.000Z,FB,182.14,182.14,180.86,181.39,51570,False
25,2022-04-26T12:00:00.000Z,FB,180.19,182.51,180.14,182.34,75379,False
26,2022-04-26T11:00:00.000Z,FB,180.69,181.03,179.5,180.17,127774,False
27,2022-04-26T10:00:00.000Z,FB,182.24,182.46,180.05,180.74,161683,False
28,2022-04-26T09:00:00.000Z,FB,186.64,187.16,181.83,182.28,78501,False
29,2022-04-25T15:00:00.000Z,FB,185.32,187.05,183.62,187.05,145074,False
30,2022-04-25T14:00:00.000Z,FB,183.72,186.17,183.2,185.32,97537,False
31,2022-04-25T13:00:00.000Z,FB,183.73,184.31,182.95,183.66,67916,False
32,2022-04-25T12:00:00.000Z,FB,182.2,184.76,181.71,183.65,90493,False
33,2022-04-25T11:00:00.000Z,FB,183.6,184.11,181.7,182.21,137797,False
34,2022-04-25T10:00:00.000Z,FB,183.39,187.15,183.3,183.59,155906,False
35,2022-04-25T09:00:00.000Z,FB,182.8,186.35,181.71,183.48,155200,False
36,2022-04-22T16:00:00.000Z,FB,184.1,184.1,184.09,184.1,600,False
37,2022-04-22T15:00:00.000Z,FB,184.65,186.85,183.84,184.1,263553,False
38,2022-04-22T14:00:00.000Z,FB,184.46,185.36,183.98,184.65,139813,False
39,2022-04-22T13:00:00.000Z,FB,183.8,184.84,183.3,184.49,67105,False
40,2022-04-22T12:00:00.000Z,FB,184.6,185.21,183.67,183.71,135072,False
41,2022-04-22T11:00:00.000Z,FB,186.25,187.05,184.21,184.61,152154,False
42,2022-04-22T10:00:00.000Z,FB,187.56,190.53,185.93,186.25,355781,False
43,2022-04-22T09:00:00.000Z,FB,190.27,192.69,187.41,187.61,365842,False
